iter	Passed	Remaining
575	2803	2063
576	2804	2056
577	2805	2048
578	2806	2040
579	2807	2033
580	2808	2025
581	2810	2018
582	2812	2011
583	2813	2003
584	2813	1996
585	2814	1988
586	2815	1981
587	2816	1973
588	2817	1966
589	2818	1958
590	2819	1951
591	2820	1944
592	2831	1943
593	2840	1941
594	2842	1934
595	2843	1927
596	2844	1920
597	2845	1913
598	2847	1906
599	2848	1898
600	2849	1891
601	2850	1884
602	2851	1877
603	2851	1869
604	2852	1862
605	2854	1855
606	2855	1848
607	2856	1841
608	2857	1834
609	2858	1827
610	2859	1820
611	2860	1813
612	2861	1806
613	2861	1799
614	2862	1792
615	2863	1785
616	2864	1778
617	2865	1771
618	2866	1764
619	2867	1757
620	2868	1750
621	2869	1743
622	2871	1737
623	2872	1730
624	2872	1723
625	2873	1716
626	2874	1710
627	2875	1703
628	2876	1696
629	2877	1690
630	2878	1683
631	2879	1676
632	2880	1670
633	2881	1663
634	2882	1656
635	2883	1650
636	2890	1647
637	2895	1642
638	2896	1636
639	2897	1629
640	2898	1623
641	2899	1616
642	2901	1610
643	2901	1604
644	2902	1597
645	2903	1591
646	2904	1584
647	2905	1578
648	2907	1572
649	2918	1571
650	2927	1569
651	2936	1567
652	2942	1563
653	2943	1557
654	2945	1551
655	2946	1545
656	2947	1538
657	2948	1532
658	2949	1526
659	2950	1519
660	2951	1513
661	2952	1507
662	2953	1501
663	2954	1495
664	2966	1494
665	2967	1488
666	2968	1481
667	2969	1475
668	2970	1469
669	2971	1463
670	2972	1457
671	2973	1451
672	2974	1445
673	2976	1439
674	2977	1433
675	2981	1428
676	2990	1426
677	2991	1420
678	2992	1414
679	2993	1408
680	2997	1404
681	3006	1401
682	3007	1395
683	3008	1389
684	3011	1384
685	3021	1382
686	3023	1377
687	3024	1371
688	3026	1365
689	3035	1363
690	3038	1358
691	3039	1352
692	3041	1347
693	3052	1346
694	3054	1340
695	3055	1334
696	3056	1328
697	3057	1322
698	3058	1316
699	3059	1311
700	3068	1308
701	3071	1303
702	3079	1300
703	3084	1296
704	3086	1291
705	3089	1286
706	3099	1284
707	3104	1280
708	3112	1277
709	3118	1273
710	3126	1270
711	3128	1265
712	3135	1262
713	3142	1258
714	3146	1254
715	3155	1251
716	3166	1249
717	3181	1249
718	3199	1250
719	3212	1249
720	3217	1245
721	3220	1239
722	3221	1234
723	3222	1228
724	3235	1227
725	3237	1221
726	3241	1217
727	3262	1218
728	3276	1217
729	3284	1214
730	3285	1209
731	3293	1205
732	3299	1201
733	3316	1201
734	3335	1202
735	3339	1197
736	3350	1195
737	3353	1190
738	3356	1185
739	3367	1183
740	3370	1177
741	3382	1176
742	3384	1170
743	3392	1167
744	3404	1165
745	3413	1162
746	3424	1159
747	3426	1154
748	3431	1149
749	3440	1146
750	3441	1141
751	3448	1137
752	3455	1133
753	3465	1130
754	3467	1125
755	3469	1119
756	3479	1117
757	3481	1111
758	3493	1109
759	3496	1104
760	3506	1101
761	3507	1095
762	3508	1089
763	3509	1084
764	3510	1078
765	3511	1072
766	3512	1066
767	3512	1061
768	3513	1055
769	3515	1050
770	3517	1044
771	3518	1039
772	3519	1033
773	3520	1028
774	3521	1022
775	3522	1016
776	3523	1011
777	3524	1005
778	3525	1000
779	3526	994
780	3527	989
781	3528	983
782	3529	978
783	3531	973
784	3532	967
785	3533	962
786	3534	956
787	3535	951
788	3536	945
789	3537	940
790	3538	934
791	3539	929
792	3540	924
793	3552	921
794	3556	917
795	3565	913
796	3569	909
797	3577	905
798	3587	902
799	3593	898
800	3601	894
801	3602	889
802	3603	883
803	3605	878
804	3606	873
805	3607	868
806	3608	863
807	3609	857
808	3610	852
809	3611	847
810	3612	841
811	3613	836
812	3614	831
813	3615	826
814	3616	820
815	3617	815
816	3618	810
817	3619	805
818	3621	800
819	3622	795
820	3623	790
821	3624	784
822	3625	779
823	3626	774
824	3627	769
825	3627	764
826	3628	759
827	3629	754
828	3630	748
829	3631	743
830	3634	739
831	3644	735
832	3646	730
833	3656	727
834	3661	723
835	3673	720
836	3682	717
837	3683	712
838	3687	707
839	3696	704
840	3697	699
841	3698	694
842	3699	689
843	3700	684
844	3701	678
845	3702	673
846	3703	668
847	3704	663
848	3705	658
849	3708	654
850	3717	650
851	3718	645
852	3719	641
853	3720	636
854	3721	631
855	3722	626
856	3723	621
857	3725	616
858	3726	611
859	3735	608
860	3745	604
861	3752	600
862	3762	597
863	3766	592
864	3775	589
865	3776	584
866	3777	579
867	3778	574
868	3779	569
869	3780	564
870	3781	560
871	3782	555
872	3783	550
873	3785	545
874	3786	540
875	3786	536
876	3787	531
877	3788	526
878	3789	521
879	3790	516
880	3791	512
881	3792	507
882	3793	502
883	3794	497
884	3795	493
885	3796	488
886	3797	483
887	3798	479
888	3800	474
889	3801	469
890	3801	465
891	3802	460
892	3805	455
893	3815	452
894	3817	447
895	3817	443
896	3818	438
897	3819	433
898	3820	429
899	3821	424
900	3822	420
901	3823	415
902	3824	410
903	3825	406
904	3826	401
905	3827	397
906	3829	392
907	3831	388
908	3839	384
909	3848	380
910	3853	376
911	3854	371
912	3855	367
913	3856	362
914	3866	359
915	3867	354
916	3868	350
917	3869	345
918	3870	341
919	3872	336
920	3873	332
921	3874	327
922	3876	323
923	3886	319
924	3888	315
925	3890	310
926	3898	307
927	3908	303
928	3914	299
929	3926	295
930	3928	291
931	3939	287
932	3950	283
933	3953	279
934	3964	275
935	3969	271
936	3979	267
937	3989	263
938	4001	259
939	4012	256
940	4021	252
941	4025	247
942	4032	243
943	4037	239
944	4045	235
945	4052	231
946	4061	227
947	4066	223
948	4068	218
949	4078	214
950	4080	210
951	4090	206
952	4101	202
953	4107	198
954	4114	193
955	4127	189
956	4136	185
957	4145	181
958	4152	177
959	4157	173
960	4164	169
961	4177	165
962	4183	160
963	4190	156
964	4203	152
965	4212	148
966	4216	143
967	4225	139
968	4231	135
969	4240	131
970	4250	126
971	4256	122
972	4265	118
973	4276	114
974	4287	109
975	4295	105
976	4302	101
977	4307	96
978	4314	92
979	4325	88
980	4333	83
981	4340	79
982	4351	75
983	4364	70
984	4369	66
985	4378	62
986	4385	57
987	4397	53
988	4404	48
989	4420	44
990	4430	40
991	4442	35
992	4446	31
993	4455	26
994	4466	22
995	4470	17
996	4479	13
997	4484	8
998	4494	4
999	4503	0
